Model,AIC,BIC,Log Likelihood,MSE_Test,MAE_Test,MSE_Train,MAE_Train
"GARCH(1,1)",13632.725731204335,13658.816045859105,-6812.362865602167,146.8352714728582,12.11539340742762,271.3333874491063,16.223885135810548
"GARCH(2,1)",13622.746499630448,13655.35939294891,-6806.373249815224,146.13012585425017,12.08686725904559,271.31289197194934,16.22350544914534
"GARCH(1,2)",13634.72573133791,13667.338624656373,-6812.362865668955,147.17829747642335,12.12948270650383,271.33363392877214,16.223891238146496
"GARCH(2,2)",13622.417120648144,13661.5525926303,-6805.208560324072,146.0697303716491,12.084119711278516,271.37796838067356,16.22526741820899
"EGARCH(1,1)",13672.71919858111,13698.80951323588,-6832.359599290555,143.6081162313957,11.981653131117644,271.42495614805057,16.235165307633334
"EGARCH(2,1)",13665.64682132509,13698.259714643553,-6827.823410662545,143.67827103559964,11.982266760498048,271.81326639040367,16.2397696979047
"EGARCH(1,2)",13674.719199981499,13707.332093299961,-6832.359599990749,143.07090530532037,11.959295237816946,271.55313613708057,16.233791067072016
"EGARCH(2,2)",13658.38442310055,13697.519895082705,-6823.192211550275,143.03124183030295,11.95766801126213,271.5816151196032,16.234376658122233
"TGARCH(1,1)",13672.480810058518,13698.571124713288,-6832.240405029259,148.26747595924033,12.174138250050277,268.9514251941471,16.17269520908438
"TGARCH(2,1)",13656.402045643037,13689.0149389615,-6823.201022821519,148.348491500874,12.177676719451112,268.9529939534627,16.17274364148372
"TGARCH(1,2)",13674.480803391483,13707.093696709946,-6832.240401695742,148.7250431593359,12.193149951289827,268.5414273419029,16.15925390936511
"TGARCH(2,2)",13654.342450271615,13693.47792225377,-6821.171225135808,148.87897161052956,12.199099827804384,268.6127536265556,16.161193470311893
"GJR-GARCH(1,1)",13397.89007773564,13430.502971054102,-6693.94503886782,119.88022970857243,10.945946240245924,270.0347542935017,16.13262370815768
"GJR-GARCH(2,1)",13399.890076881944,13439.0255488641,-6693.945038440972,120.13945886297093,10.957789217328113,270.0379714634215,16.132705657968902
"GJR-GARCH(1,2)",13399.890076475705,13439.025548457861,-6693.945038237853,119.66741131444398,10.935834973694782,270.1033251664206,16.133611899768415
"GJR-GARCH(2,2)",13401.890076670365,13447.548127316213,-6693.945038335182,119.35650760444192,10.92224167795331,270.109295034732,16.133784542574933
"GARCH(1,1)",1122.302999379723,1137.5235392553889,-557.1514996898615,146.8352714728582,12.11539340742762,271.3333874491063,16.223885135810548
"GARCH(2,1)",1121.4426425285533,1140.4683173731357,-555.7213212642766,146.13012585425017,12.08686725904559,271.31289197194934,16.22350544914534
"GARCH(1,2)",1124.3029993753635,1143.328674219946,-557.1514996876817,147.17829747642335,12.12948270650383,271.33363392877214,16.223891238146496
"GARCH(2,2)",1122.2300431869826,1145.0608530004815,-555.1150215934913,146.0697303716491,12.084119711278516,271.37796838067356,16.22526741820899
"EGARCH(1,1)",1129.4628034916295,1144.6833433672955,-560.7314017458148,143.6081162313957,11.981653131117644,271.42495614805057,16.235165307633334
"EGARCH(2,1)",1129.040458425899,1148.0661332704815,-559.5202292129495,143.67827103559964,11.982266760498048,271.81326639040367,16.2397696979047
"EGARCH(1,2)",1131.4628027522522,1150.4884775968346,-560.7314013761261,143.07090530532037,11.959295237816946,271.55313613708057,16.233791067072016
"EGARCH(2,2)",1130.8489330762636,1153.6797428897626,-559.4244665381318,143.03124183030295,11.95766801126213,271.5816151196032,16.234376658122233
"TGARCH(1,1)",1122.6337447605658,1137.8542846362318,-557.3168723802829,148.26747595924033,12.174138250050277,268.9514251941471,16.17269520908438
"TGARCH(2,1)",1121.1874060905095,1140.213080935092,-555.5937030452548,148.348491500874,12.177676719451112,268.9529939534627,16.17274364148372
"TGARCH(1,2)",1124.6337445653846,1143.659419409967,-557.3168722826923,148.7250431593359,12.193149951289827,268.5414273419029,16.15925390936511
"TGARCH(2,2)",1123.1818524548619,1146.0126622683608,-555.5909262274309,148.87897161052956,12.199099827804384,268.6127536265556,16.161193470311893
"GJR-GARCH(1,1)",1121.0539119848206,1140.079586829403,-555.5269559924103,119.88022970857243,10.945946240245924,270.0347542935017,16.13262370815768
"GJR-GARCH(2,1)",1120.661451307163,1143.4922611206619,-554.3307256535815,120.13945886297093,10.957789217328113,270.0379714634215,16.132705657968902
"GJR-GARCH(1,2)",1123.0539119615366,1145.8847217750356,-555.5269559807683,119.66741131444398,10.935834973694782,270.1033251664206,16.133611899768415
"GJR-GARCH(2,2)",1122.6177252013304,1149.2536699837458,-554.3088626006652,119.35650760444192,10.92224167795331,270.109295034732,16.133784542574933
"GARCH(1,1)",1935.5428230225527,1953.5659592630657,-963.7714115112764,146.8352714728582,12.11539340742762,271.3333874491063,16.223885135810548
"GARCH(2,1)",1937.5413376985452,1960.0702579991864,-963.7706688492726,146.13012585425017,12.08686725904559,271.31289197194934,16.22350544914534
"GARCH(1,2)",1937.5428230168993,1960.0717433175405,-963.7714115084497,147.17829747642335,12.12948270650383,271.33363392877214,16.223891238146496
"GARCH(2,2)",1939.1350287839857,1966.1697331447551,-963.5675143919929,146.0697303716491,12.084119711278516,271.37796838067356,16.22526741820899
"EGARCH(1,1)",1937.2888124431583,1955.3119486836713,-964.6444062215792,143.6081162313957,11.981653131117644,271.42495614805057,16.235165307633334
"EGARCH(2,1)",1938.3763765282038,1960.905296828845,-964.1881882641019,143.67827103559964,11.982266760498048,271.81326639040367,16.2397696979047
"EGARCH(1,2)",1938.3629210858471,1960.8918413864883,-964.1814605429236,143.07090530532037,11.959295237816946,271.55313613708057,16.233791067072016
"EGARCH(2,2)",1940.3590146400597,1967.3937190008292,-964.1795073200299,143.03124183030295,11.95766801126213,271.5816151196032,16.234376658122233
"TGARCH(1,1)",1937.664245241112,1955.687381481625,-964.832122620556,148.26747595924033,12.174138250050277,268.9514251941471,16.17269520908438
"TGARCH(2,1)",1939.6642453468448,1962.193165647486,-964.8321226734224,148.348491500874,12.177676719451112,268.9529939534627,16.17274364148372
